XpryDt,FinInstrmNm,TckrSymb,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%),Weekly Returns(%)
6/29/2023,FUTSTK,TATACONSUM,716.9,0,0,0,716.9,729.8,0,1800,3-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,716.9,724.25,736,724.25,736,736,5,4500,5-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,736,730.3,735.6,730.3,734.2,742.95,14,15300,6-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,722.85,725,725,725,725,729.6,1,23400,12-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,723,720.15,720.55,718,718,723.6,5,27900,17-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,712,708.45,708.45,701.8,704.2,704.2,37,51300,19-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,704.2,702.5,707.7,702,707.7,707.7,17,63900,20-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,707.7,705.65,705.65,700.35,704.05,704.05,40,92700,21-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,704.05,714,736.3,713,735.2,735.2,123,131400,24-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,735.2,733.4,739.05,732.7,737.25,737.25,64,161100,25-Apr-23,3,,,
6/29/2023,FUTSTK,TATACONSUM,737.25,727.4,747,721.95,745.75,745.75,145,192600,26-Apr-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,767.7,760.8,765,760.8,765,765,2,1800,28-Apr-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,782.05,784.35,784.35,784.35,784.35,801.5,1,4500,8-May-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,784.35,791.9,791.9,791.9,791.9,801.5,2,6300,9-May-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,791.9,0,0,0,791.9,803.5,0,6300,10-May-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,776,0,0,0,776,787.15,0,16200,18-May-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,776,772.65,776.95,772.65,776.05,776.05,9,22500,19-May-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,776.05,774,778,774,776,776,6,25200,22-May-23,3,,,
7/27/2023,FUTSTK,TATACONSUM,776,780,780,779.5,779.75,779.75,11,27000,23-May-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,795.45,0,0,0,795.45,804.85,0,0,26-May-23,3,,,
