XpryDt,FinInstrmNm,TckrSymb,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%)
5/25/2023,FUTSTK,TATACONSUM,718,718,724.9,717.45,724.2,724.2,60,115200,3-Apr-23,2,15,
5/25/2023,FUTSTK,TATACONSUM,724.2,727.85,735,724.25,734.7,734.7,96,160200,5-Apr-23,2,15,
5/25/2023,FUTSTK,TATACONSUM,734.7,733.25,736.8,729.45,735.9,735.9,61,169200,6-Apr-23,2,15,1.615575808
5/25/2023,FUTSTK,TATACONSUM,723.7,726.3,727,721.8,724.2,724.2,117,479700,12-Apr-23,2,16,-1.589889931
5/25/2023,FUTSTK,TATACONSUM,724.1,724.35,725.85,718.2,719.3,719.3,416,704700,17-Apr-23,2,17,
5/25/2023,FUTSTK,TATACONSUM,713.15,710.05,713,703.4,705.8,705.8,590,1118700,19-Apr-23,2,17,
5/25/2023,FUTSTK,TATACONSUM,705.8,702.25,710,702.25,709.05,709.05,706,1360800,20-Apr-23,2,17,
5/25/2023,FUTSTK,TATACONSUM,709.05,708.5,710.2,702.5,705.6,705.6,839,1702800,21-Apr-23,2,17,-0.01904629501
5/25/2023,FUTSTK,TATACONSUM,705.6,709.85,738.9,709.2,737.25,737.25,8470,4770000,24-Apr-23,2,18,
5/25/2023,FUTSTK,TATACONSUM,737.25,739.95,741.5,733.6,739,739,5233,6884100,25-Apr-23,2,18,
5/25/2023,FUTSTK,TATACONSUM,739,731.35,743.85,720,741.95,741.95,10443,8929800,26-Apr-23,2,18,
6/29/2023,FUTSTK,TATACONSUM,754.4,756.35,762.5,753.15,762,762,90,247500,28-Apr-23,2,18,3.357070193
6/29/2023,FUTSTK,TATACONSUM,775.9,781,787.55,779,787.05,787.05,99,322200,8-May-23,2,20,
6/29/2023,FUTSTK,TATACONSUM,787.05,788,790,785,787.25,787.25,86,351000,9-May-23,2,20,
6/29/2023,FUTSTK,TATACONSUM,787.25,787.95,789.55,785.05,788.9,788.9,181,366300,10-May-23,2,20,0.235054952
6/29/2023,FUTSTK,TATACONSUM,775.25,777.35,781.85,773.45,774.5,774.5,356,1161900,18-May-23,2,21,
6/29/2023,FUTSTK,TATACONSUM,774.5,771.75,773,763.2,769.9,769.9,848,1502100,19-May-23,2,21,-0.005939315688
6/29/2023,FUTSTK,TATACONSUM,769.9,770.15,773.7,767.05,771.15,771.15,3567,3699900,22-May-23,2,22,
6/29/2023,FUTSTK,TATACONSUM,771.15,772.95,776.15,768.75,775.25,775.25,3785,6189300,23-May-23,2,22,
7/27/2023,FUTSTK,TATACONSUM,790.2,790.85,799.5,790.85,797.45,797.45,32,39600,26-May-23,2,22,3.410490825
7/27/2023,FUTSTK,TATACONSUM,797.45,801.05,804,801,804,804,20,42300,29-May-23,2,23,
